Score and Grading,Tilki,Ramnagar,Udayapur,Dashrathbasti,Simari,Khallabichawa,Binbari,Kanj,Kasba,Nand Gau,Balmi,Dunga,Khall Jain,Dekhatbhuli (Deuwa Tole),"Bhanubhakta Tole (Saraswati, Bhumiraj)",Bagphanta (Shuktaraj Tole),Rautela Khola (Bishnu Tole),Khutiya Tole,Nuklipur,Purba Lalitpur,Sano Bikree,Badhupuruwa,Thapuwa,Balapur,Bhartapur,Payal,Baidi,Shreelanka,Dakshinshahipur,Belpur,Girdharpur,Farela,Lamkipuruwa,Naya Likepur Shiber,Tihuni,Chanaura,Sangharshanagar,Tediya,Tigra,Bankatti,Banghushra,Rajipur,Sankatti,Shonaha Gau,Bangalipur,Bhagrahiya,Bhagatpur,Patharbojhi,Sonaha,Dangpur,Dhungrahi,Kumra Gau,Lauthuwa Jogipur,Bhaishakhani,Ghorpitta,Guruwa Gau,Jabdi
Community code,c_56,c_43,c_57,c_18,c_50,c_31,c_15,c_28,c_29,c_36,c_05,c_22,c_30,c_20,c_13,c_02,c_44,c_32,c_38,c_41,c_47,c_01,c_53,c_04,c_14,c_40,c_03,c_49,c_19,c_09,c_25,c_23,c_34,c_37,c_55,c_16,c_45,c_52,c_54,c_08,c_07,c_42,c_46,c_48,c_06,c_11,c_10,c_39,c_51,c_17,c_21,c_33,c_35,c_12,c_24,c_26,c_27
T0 Flood,49,45,51,42,43,48,44,51,47,48,44,42,44,35,41,43,41,48,46,48,37,35,44,42,36,34,61,38,41,34,54,55,38,36,51,44,60,50,60,46,61,54,57,59,61,44,45,57,60,44,38,41,43,42,41,43,42
T0 Heat,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42,38,45,42,43,35,29,43,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T0 Generic,48,46,52,42,43,50,42,48,48,44,44,46,43,38,46,44,39,48,48,50,42,33,48,44,39,30,57,38,47,36,52,53,39,39,52,44,60,52,58,47,56,56,55,56,60,47,47,57,58,47,42,46,47,44,47,47,43
T1 Flood,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T1 Heat,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T1 Generic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
F01,C,C,C,D,C,C,C,B,C,C,B,C,D,D,C,C,D,B,C,C,D,C,C,C,C,C,C,C,C,C,B,B,C,C,C,C,C,C,C,B,B,B,C,B,C,C,C,C,C,D,C,D,D,C,C,C,D
F02,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,D,B,C,B,C,C,C,C,C,C,C,C,B,C,C,C,C,C,C,C,C,B,B,B,C,C,C,C,B,C,C,B,C,C,C,C,C,C,C,C,C
F03,B,B,B,B,C,C,C,C,C,C,C,C,C,C,B,B,C,B,B,B,B,B,B,B,B,B,C,C,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C,C,C,C,C,C,C
F04,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,C,B,B,B,C,B,B,B,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
F05,B,B,B,B,B,D,D,C,C,C,C,B,C,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C,B,B,C,C,B,B,B,B,B,A,B,B,B,B,B,B,C,B,B,B,C,B,C,B,C,C,B
F06,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,C,C,C,D,D,D,D,D,C,C,D,D,D,D,D,D,D,C,C,C,C,C,C,C,C,D,C,C,C,D,C,C,C,D,C,D,D,D,D,D
F07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,C,C,C,D,D,D,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F08,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,C,D,D,D,D,D,D,D,C,D,D,C,C,C,D,D,C,C,C,D,C,D,C,D,D,C,C,D,D,D,D,D,D,D,D,D,D,D,D
F09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,D,C,D,D,D,D,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F10,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,D,C,C,B,B,C,B,B,C,C,C,B,C,C,C,B,B,B,C,C,C,C,B,B,B,C,C,B,B,B,C,C,C,B,C,C,C,C,C,C,C,C
F11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,C,B,C,D,C,D,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F12,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,C,C,D,C,D,C,D,D,C,C,C,C,C,D,B,B,C,C,C,C,C,C,C,D,D,D,D,D,D,D,D
F13,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,C,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
F14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,C,C,D,B,D,D,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,D,C,D,D,D,C,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H01,B,B,B,C,B,C,C,C,C,C,C,C,C,C,A,B,B,C,A,B,B,B,B,B,B,C,B,B,B,B,B,B,B,C,B,B,B,C,C,D,C,B,B,B,B,C,C,B,B,B,C,C,B,B,B,B,C
H02,B,C,B,B,C,B,B,C,B,B,B,C,B,C,C,C,C,B,B,B,B,D,B,D,B,D,B,B,B,D,C,C,C,C,B,C,C,B,B,C,B,B,B,B,B,C,C,C,C,B,C,B,B,C,B,B,C
H03,C,C,C,C,C,C,C,C,C,C,C,C,B,C,C,D,C,B,A,C,D,D,C,C,D,D,B,D,D,C,B,B,D,C,C,C,B,C,C,C,C,C,B,B,B,C,C,B,B,D,D,D,D,D,D,D,D
H04,B,B,A,A,A,A,A,B,B,B,B,B,B,C,B,A,A,B,B,B,B,B,A,A,B,B,A,B,A,B,B,A,B,B,A,B,A,A,A,B,A,C,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A
H05,B,A,A,A,A,A,A,A,A,A,A,B,B,C,A,A,A,B,B,B,B,B,B,A,B,B,A,B,A,B,A,A,B,A,A,B,A,A,A,B,A,B,A,A,A,A,B,A,B,A,A,B,A,A,B,A,A
H06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B,B,B,B,B,B,B,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H07,A,B,A,B,A,A,A,A,A,A,A,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,B,A,A,A,B,B,B,B,B,B,B,B
H08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,A,B,B,B,B,B,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H09,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A
H10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B,B,B,B,B,B,C,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H11,B,B,B,B,B,B,B,B,B,B,B,C,B,C,C,B,B,B,B,B,B,C,C,C,C,B,A,C,C,C,A,A,C,D,B,B,A,B,A,C,A,B,A,A,B,C,C,A,A,C,C,C,C,C,C,C,C
H12,B,C,B,B,B,C,C,B,A,B,B,C,B,C,C,B,B,B,B,B,C,C,B,B,C,B,A,C,C,B,B,B,C,C,B,B,A,B,B,B,B,A,B,B,A,B,B,B,A,B,B,C,B,B,C,C,B
H13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B,C,B,B,B,B,C,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,C,D,C,C,C,D,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N01,B,B,C,C,D,B,B,B,B,B,B,B,B,B,C,C,C,B,C,B,C,C,C,B,C,D,C,C,C,C,C,C,C,C,C,C,C,D,C,C,C,B,C,C,B,B,B,B,B,B,B,B,B,B,B,B,B
N02,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C,B,C,C,C,B,C,C,B,B,B,C,B,B,B,B,C,C,B,B,B,C,B,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
N03,C,B,B,C,C,C,C,C,C,C,C,C,C,C,C,C,B,D,D,C,D,C,C,C,C,C,B,B,B,D,C,C,C,C,C,C,B,B,B,D,C,B,C,C,C,C,C,C,B,C,D,C,C,C,C,C,C
N04,B,B,B,C,C,C,C,B,C,B,C,B,C,C,C,C,C,A,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,C,C,C,C,B,B,B,C,C,C,C,B,C,C,B,C,C
N05,C,C,C,C,C,D,D,C,C,C,C,C,C,C,C,C,C,C,C,B,C,C,C,B,C,C,C,C,C,D,B,B,C,D,C,C,B,C,B,B,B,C,C,B,C,C,B,C,B,C,C,B,C,C,B,B,C
N06,B,C,C,C,C,C,C,B,C,B,C,C,C,C,C,C,C,B,C,C,C,D,C,B,C,C,B,C,C,C,B,B,C,C,C,C,C,B,B,C,B,C,B,C,B,C,C,B,B,C,C,D,C,C,D,C,C
N07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B,B,B,B,C,C,D,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P01,C,C,C,C,C,B,B,B,B,B,B,B,C,C,C,B,C,D,C,C,B,B,B,C,B,C,B,C,C,C,B,B,C,C,B,B,B,B,B,B,B,B,B,B,B,C,C,B,B,C,C,C,C,C,C,C,C
P02,D,C,C,D,D,C,C,C,B,B,C,B,C,C,C,C,C,C,C,C,C,D,B,C,D,D,C,D,C,C,C,C,C,D,B,C,B,B,B,D,B,B,B,B,B,C,C,B,B,C,C,C,C,D,C,C,C
P03,C,C,B,C,C,C,C,C,B,C,C,C,C,B,C,C,C,B,B,B,B,B,A,C,C,C,B,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C,C,B,C,C,B
P04,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,B,B,B,B,C,C,B,B,C,C,C,A,C,B,B,B,B,B,B,A,B,A,B,A,B,A,B,A,A,A,B,B,A,A,B,C,C,B,B,C,B,B
P05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,C,C,C,C,D,C,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P06,C,C,C,D,D,B,B,C,C,B,C,B,B,C,C,C,C,C,D,D,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,C,C,A,B,B,C,B,C,C,C,C,B,C,C,C,C,C,C,C,C
P07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,C,D,D,D,D,C,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P08,C,C,C,C,C,B,B,A,B,B,C,C,B,C,C,C,C,B,B,C,C,C,C,C,C,C,B,C,C,C,B,B,C,C,B,C,B,C,B,B,B,B,B,B,B,C,C,C,C,C,C,C,C,C,C,C,C
P09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,C,B,C,C,C,C,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P10,C,C,C,D,D,B,B,D,C,C,C,C,C,C,B,C,C,C,C,C,C,C,B,C,C,C,C,C,B,D,C,C,C,D,B,C,C,B,B,B,B,B,C,C,B,C,B,C,B,C,C,C,C,C,C,C,C
P11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B,B,B,B,B,C,B,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P12,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,A,B,B,B,B,B,C,A,B,B,B,B,B,B,B,B,B,A,B,B,B,A,B,A,A,A,B,B,A,A,B,B,B,B,B,B,B,B
P13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,C,B,C,B,C,B,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P14,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C,B,B,B,B,B,B,C,B,B,C,C,B,C,C,C,B,C,C,C,B,B,B,B,B,B,B,B,B,B,B,C,B,B,B,C,C,C,C,C,C,C,B
P15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B,C,B,B,B,A,C,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P16,C,C,C,C,D,C,C,C,C,C,C,C,C,C,C,B,C,D,C,D,D,D,D,D,C,C,C,C,C,C,C,C,C,C,C,C,B,B,B,B,C,B,B,B,B,C,C,B,B,C,D,C,C,C,C,C,C
P17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B,C,D,D,D,D,D,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P18,D,D,D,D,D,C,C,C,C,C,C,C,C,D,D,D,D,C,B,C,C,C,C,D,D,C,C,D,D,D,C,C,C,D,C,C,C,C,C,D,C,C,C,C,C,D,D,C,C,C,D,C,C,C,C,C,C
P19,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,D,C,C,D,C,C,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
S01,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
S02,B,B,B,B,B,C,C,C,C,C,C,C,C,C,B,C,C,B,C,D,C,D,C,D,D,D,B,D,C,C,B,B,D,D,B,B,B,C,B,C,B,B,B,B,B,C,C,B,B,C,B,B,C,C,C,C,C
S03,C,C,C,D,C,C,C,B,C,C,C,C,B,C,B,C,C,C,B,B,C,C,C,C,C,C,C,C,C,C,C,C,C,B,C,C,B,B,B,C,C,C,C,C,C,D,C,C,C,C,B,C,B,C,C,B,B
S04,B,C,B,B,B,C,C,B,A,B,B,B,C,C,B,B,C,C,B,B,D,D,C,B,C,C,A,C,A,B,B,B,C,B,C,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,B
S05,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,D,C,C,B,C,D,C,C,C,C,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,B,C,C,B,C
S06,C,C,C,D,D,B,B,C,C,C,B,C,C,B,B,C,B,C,B,C,B,B,B,B,C,C,B,C,B,C,C,B,B,C,B,C,B,B,B,C,C,B,B,C,B,C,C,B,B,B,B,B,B,C,B,B,C
S07,B,C,B,C,B,C,C,B,B,C,C,C,B,C,C,C,C,B,C,B,C,D,C,C,C,C,B,C,C,C,B,B,B,B,C,C,B,C,B,C,B,B,B,B,B,B,C,B,B,C,C,C,C,C,C,C,C
S08,B,C,B,B,B,B,B,B,B,C,C,B,B,C,C,B,C,C,C,C,B,D,C,C,C,D,B,C,C,D,B,C,B,C,B,C,B,B,C,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
S09,C,C,C,B,B,C,C,B,C,C,C,C,C,C,C,C,C,C,C,D,C,C,C,C,B,C,B,C,C,C,C,C,C,C,B,C,B,C,C,D,C,B,C,C,B,C,C,B,B,B,C,C,B,B,C,C,C
S10,B,B,B,B,B,C,C,B,C,B,C,C,B,C,C,D,C,C,D,C,C,C,C,C,D,D,B,D,D,D,B,B,C,D,C,C,B,C,B,D,A,C,B,B,B,C,C,B,B,C,C,C,C,C,C,C,C
S11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,D,D,D,D,C,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S12,B,D,B,C,B,C,C,B,C,B,D,D,C,D,D,C,C,C,D,C,B,C,C,D,C,D,A,C,D,D,B,B,D,D,C,D,B,C,B,D,B,D,B,B,C,D,D,C,B,C,D,C,C,C,C,C,C
S13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,D,D,D,D,D,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S14,C,D,C,C,C,D,D,C,D,D,D,D,D,D,D,C,C,C,C,C,C,D,C,C,C,D,B,C,C,D,C,C,D,D,C,C,C,D,B,C,C,C,C,C,C,D,D,C,C,C,C,C,C,C,C,C,C
S15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,D,D,C,C,D,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S16,B,B,B,B,B,C,C,C,C,C,C,C,C,C,C,C,C,B,B,C,C,B,C,C,C,C,B,C,D,C,B,B,C,C,B,B,B,C,B,C,B,C,B,B,B,C,C,B,B,B,C,C,B,C,C,C,B
S17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,D,C,B,C,C,C,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S18,B,C,A,C,A,C,C,A,B,B,C,D,C,D,D,D,D,D,D,C,D,D,C,C,D,C,A,D,D,D,B,B,D,D,C,D,B,D,B,D,A,D,A,A,B,D,D,B,B,D,D,D,D,D,D,D,D
S19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,D,D,D,D,D,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S20,C,C,C,C,C,C,C,A,C,C,C,C,C,C,C,C,C,C,B,B,B,A,C,C,C,B,B,C,D,C,C,C,C,C,C,C,B,C,C,C,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
S21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,D,C,B,B,D,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA